card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
IndusInd Pinnacle credit card,IndusInd Bank,IndusInd,,[],15000,,,NA,"[{""child"": ""Earn 0.7 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 2.5 Reward Points per ₹100 spent"", ""name"": ""Online""}, {""child"": ""Earn 1.5 Reward Points per ₹100 spent"", ""name"": ""Online Travel Agencies""}, {""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""International""}, {""child"": ""Earn 0.7 Reward Points per ₹100 spent"", ""name"": ""Education""}, {""child"": ""Earn 0.7 Reward Points per ₹100 spent"", ""name"": ""Rent""}, {""child"": ""Earn 0.7 Reward Points per ₹100 spent"", ""name"": ""Utilities""}, {""child"": ""Earn 0.7 Reward Points per ₹100 spent"", ""name"": ""Insurance""}, {""child"": ""Earn 0.7 Reward Points per ₹100 spent"", ""name"": ""Government""}, {""child"": "" No Reward Points on this category."", ""name"": ""EMI""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""UPI""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,[],"[{""maintitle"": ""International lounge"", ""limit"": [""1 per quarter""], ""eligibility"": [""2 Complimentary Lounge Access using Priority Pass.""]}, {""maintitle"": ""Domestic lounge"", ""limit"": [""1 per quarter""], ""eligibility"": [""No explicit spend condition""]}]",,,,"[{""mainTitle"": ""BookMyShow"", ""child"": ""Buy One Get One Free""}, {""mainTitle"": ""Concierge"", ""child"": ""Pinnacle Concierge""}, {""mainTitle"": ""Golf"", ""child"": ""Complimentary Golf Rounds/Lessons""}, {""mainTitle"": ""Insurance"", ""child"": ""Travel Insurance""}, {""mainTitle"": ""Priority Pass"", ""child"": ""Priority Pass membership""}, {""mainTitle"": ""Road Side Assistance"", ""child"": ""Pinnacle Auto-Assist""}]","[""Buy One Get One Free"", ""Pinnacle Concierge"", ""Complimentary Golf Rounds/Lessons"", ""Travel Insurance"", ""Priority Pass membership"", ""Pinnacle Auto-Assist""]",,,,savesage.club,https://savesage.club/credit-card/indusind-pinnacle
IndusInd Intermiles Voyage credit card,IndusInd Bank,IndusInd,,"[""Experience"", ""Catalogue Products""]",2000,,,1% to 2%,"[{""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 6 Reward Points per ₹100 spent"", ""name"": ""Intermiles.com (Weekends)""}, {""child"": ""Earn 5 Reward Points per ₹100 spent"", ""name"": ""Etihad Airways""}, {""child"": ""Earn 4 Reward Points per ₹100 spent"", ""name"": ""Intermiles.com (Weekdays)""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Weekends""}, {""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Education""}, {""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Utilities""}, {""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Insurance""}, {""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Government""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""EMI""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,[],[],,,,"[{""mainTitle"": ""BookMyShow"", ""child"": ""Buy One Get One Free""}, {""mainTitle"": ""Golf"", ""child"": ""Complimentary Golf Rounds""}, {""mainTitle"": ""Insurance"", ""child"": ""Air Accident Cover""}, {""mainTitle"": ""Priority Pass"", ""child"": ""Priority Pass membership""}]","[""Buy One Get One Free"", ""Complimentary Golf Rounds"", ""Air Accident Cover"", ""Priority Pass membership""]",,,,savesage.club,https://savesage.club/credit-card/indusind-intermiles-voyage
IndusInd EPay credit card,IndusInd Bank,IndusInd,,[],0,,,NA,"[{""child"": ""Earn 4 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 10 Reward Points per ₹100 spent"", ""name"": ""11 txns in a statement cycle""}, {""child"": ""Earn 8 Reward Points per ₹100 spent"", ""name"": ""5th to 10th txn in a statement cycle""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""EMI""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,[],[],,,,"[{""mainTitle"": ""Insurance"", ""child"": ""Air Accident Cover""}, {""mainTitle"": ""Priority Pass"", ""child"": ""Priority Pass membership""}]","[""Air Accident Cover"", ""Priority Pass membership""]",,,,savesage.club,https://savesage.club/credit-card/indusind-epay
Kotak Mojo credit card,Kotak Mahindra Bank,Kotak,,"[""Experience"", ""Travel Booking"", ""Hotel Transfer""]",1000,,,3% to 6%,"[{""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 2.5 Reward Points per ₹100 spent"", ""name"": ""Online""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Education""}, {""child"": "" No Reward Points on this category."", ""name"": ""Online Gaming""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 75000, ""cycleType"": ""CALENDAR"", ""benefits"": ""Gift vouchers worth ₹2,500."", ""milestoneType"": ""QUARTER""}]","[{""maintitle"": ""Domestic lounge"", ""limit"": [""2 per quarter""], ""eligibility"": [""Spend ₹75,000 in the previous calendar quarter.""]}]",,,,[],[],,,,savesage.club,https://savesage.club/credit-card/kotak-mojo
Kotak White credit card,Kotak Mahindra Bank,Kotak,,"[""Catalogue Products""]",3000,,,1% to 3%,"[{""child"": "" No Reward Points on this category."", ""name"": ""Base Rewards""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Education""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 200000, ""cycleType"": ""STATEMENT"", ""benefits"": ""₹2,000 worth white pass."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 2, ""spent"": 400000, ""cycleType"": ""STATEMENT"", ""benefits"": ""₹4,000 worth white pass."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 3, ""spent"": 600000, ""cycleType"": ""STATEMENT"", ""benefits"": ""₹6,000 worth white pass."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 4, ""spent"": 900000, ""cycleType"": ""STATEMENT"", ""benefits"": ""₹7,000 worth white pass."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 5, ""spent"": 1200000, ""cycleType"": ""STATEMENT"", ""benefits"": ""₹8,000 worth white pass."", ""milestoneType"": ""YEAR""}]","[{""maintitle"": ""Domestic lounge"", ""limit"": [""2 per quarter""], ""eligibility"": [""No explicit spend condition if you spend ₹75,000 in the previous 3 months, you get complimentary access""]}, {""maintitle"": ""International lounge"", ""limit"": [""4 per year""], ""eligibility"": [""Complimentary Lounge Access using Priority Pass.""]}]",,,,"[{""mainTitle"": ""Insurance"", ""child"": ""Lost Card Liability""}]","[""Lost Card Liability""]",,,,savesage.club,https://savesage.club/credit-card/kotak-white
Kotak Zen Signature credit card,Kotak Mahindra Bank,Kotak,,"[""Catalogue Products""]",1500,,,1% to 3%,"[{""child"": ""Earn 5 Reward Points per ₹150 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 10 Reward Points per ₹150 spent"", ""name"": ""Retail""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Education""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 300000, ""cycleType"": ""STATEMENT"", ""benefits"": ""7,500 bonus Zen Points."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 2, ""spent"": 600000, ""cycleType"": ""STATEMENT"", ""benefits"": ""15,000 bonus Zen points."", ""milestoneType"": ""YEAR""}]","[{""maintitle"": ""Domestic lounge"", ""limit"": [""2 per quarter""], ""eligibility"": [""No explicit spend condition""]}, {""maintitle"": ""International lounge"", ""limit"": [""3 per year""], ""eligibility"": [""Priority Pass is offered only when the user makes four purchase transactions within 12 months.\nIf this condition isn't met, you can pay INR 2000 to acquire a Priority Pass.""]}]",,,,"[{""mainTitle"": ""Priority Pass"", ""child"": ""Priority Pass membership""}]","[""Priority Pass membership""]",,,,savesage.club,https://savesage.club/credit-card/kotak-zen-signature
Kotak League credit card,Kotak Mahindra Bank,Kotak,,"[""Experience"", ""Travel Booking"", ""Hotel Transfer""]",499,,,1% to 3%,"[{""child"": ""Earn 4 Reward Points per ₹150 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 8 Reward Points per ₹150 spent"", ""name"": ""Online Travel Agencies""}, {""child"": ""Earn 8 Reward Points per ₹150 spent"", ""name"": ""Spends >₹2L""}, {""child"": ""Earn 8 Reward Points per ₹150 spent"", ""name"": ""Flights""}, {""child"": ""Earn 8 Reward Points per ₹150 spent"", ""name"": ""Departmental Stores""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Education""}, {""child"": "" No Reward Points on this category."", ""name"": ""Online Gaming""}, {""child"": "" No Reward Points on this category."", ""name"": ""Insurance""}, {""child"": "" No Reward Points on this category."", ""name"": ""Government""}, {""child"": "" No Reward Points on this category."", ""name"": ""Railways""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 0, ""cycleType"": ""STATEMENT"", ""benefits"": ""5000 Reward points worth Rs. 500"", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 2, ""spent"": 50000, ""cycleType"": ""STATEMENT"", ""benefits"": ""The renewal fee will be waived."", ""milestoneType"": ""YEAR""}]",[],,,,"[{""mainTitle"": ""Insurance"", ""child"": ""Lost Card Liability""}]","[""Lost Card Liability""]",,,,savesage.club,https://savesage.club/credit-card/kotak-league
Kotak PVR Gold credit card,Kotak Mahindra Bank,Kotak,,"[""Catalogue Products""]",0,,,1% to 3%,"[{""child"": "" No Reward Points on this category."", ""name"": ""Base Rewards""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 10000, ""cycleType"": ""STATEMENT"", ""benefits"": ""1 PVR Movie ticket."", ""milestoneType"": ""MONTH""}, {""milestoneNumber"": 2, ""spent"": 15000, ""cycleType"": ""STATEMENT"", ""benefits"": ""2 PVR Movie ticket."", ""milestoneType"": ""MONTH""}]",[],,,,"[{""mainTitle"": ""PVR"", ""child"": ""Get 20% instant discount on Food and Beverages at PVR INOX""}, {""mainTitle"": ""PVR"", ""child"": ""Get 5% instant discount on Movie Tickets at PVR INOX""}]","[""Get 20% instant discount on Food and Beverages at PVR INOX"", ""Get 5% instant discount on Movie Tickets at PVR INOX""]",,,,savesage.club,https://savesage.club/credit-card/kotak-pvr-gold
Kotak PVR Platinum credit card,Kotak Mahindra Bank,Kotak,,"[""Catalogue Products""]",0,,,1% to 3%,"[{""child"": "" No Reward Points on this category."", ""name"": ""Base Rewards""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,[],[],,,,"[{""mainTitle"": ""Insurance"", ""child"": ""Lost Card Liability""}]","[""Lost Card Liability""]",,,,savesage.club,https://savesage.club/credit-card/kotak-pvr-platinum
Kotak 6E Rewards – Indigo credit card,Kotak Mahindra Bank,Kotak,,"[""Experience""]",700,,,2% to 5%,"[{""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""IndiGo""}, {""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""Movies""}, {""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""Dining""}, {""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""Grocery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Online Gaming""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Education""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,[],"[{""maintitle"": ""Domestic lounge"", ""limit"": [""2 per quarter""], ""eligibility"": [""No explicit spend condition""]}]",,,,[],[],,,,savesage.club,https://savesage.club/credit-card/kotak-6e-rewards-indigo
Kotak 6E Rewards XL – Indigo credit card,Kotak Mahindra Bank,Kotak,,"[""Cashback""]",1500,,,1% to 2%,"[{""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 10 Reward Points per ₹100 spent"", ""name"": ""Indigo (Partners)""}, {""child"": ""Earn 6 Reward Points per ₹100 spent"", ""name"": ""IndiGo""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Grocery""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Dining""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Movies""}, {""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Education""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Online Gaming""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,[],[],,,,[],[],,,,savesage.club,https://savesage.club/credit-card/kotak-6e-rewards-xl-indigo
Kotak White Reserve credit card,Kotak Mahindra Bank,Kotak,,"[""Catalogue Products""]",12500,,,1% to 3%,"[{""child"": "" No Reward Points on this category."", ""name"": ""Base Rewards""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Education""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 300000, ""cycleType"": ""STATEMENT"", ""benefits"": ""₹5,000 worth white pass."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 2, ""spent"": 1000000, ""cycleType"": ""STATEMENT"", ""benefits"": ""₹15,000 worth white pass."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 3, ""spent"": 2000000, ""cycleType"": ""STATEMENT"", ""benefits"": ""₹22,000 worth white pass."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 4, ""spent"": 3000000, ""cycleType"": ""STATEMENT"", ""benefits"": ""₹24,000 worth white pass."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 5, ""spent"": 4000000, ""cycleType"": ""STATEMENT"", ""benefits"": ""₹26,000 worth white pass."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 6, ""spent"": 5000000, ""cycleType"": ""STATEMENT"", ""benefits"": ""₹28,000 worth white pass."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 7, ""spent"": 7500000, ""cycleType"": ""STATEMENT"", ""benefits"": ""₹63,000 worth white pass."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 8, ""spent"": 10000000, ""cycleType"": ""STATEMENT"", ""benefits"": ""₹67,000 worth white pass."", ""milestoneType"": ""YEAR""}]","[{""maintitle"": ""Domestic lounge"", ""limit"": [""Unlimited""], ""eligibility"": [""No explicit spend condition""]}, {""maintitle"": ""International lounge"", ""limit"": [""Unlimited""], ""eligibility"": [""Unlimited through Priority Pass membership""]}, {""maintitle"": ""Add on card domestic lounge"", ""limit"": [""Unlimited""], ""eligibility"": [""No explicit spend condition""]}, {""maintitle"": ""Add on card international lounge"", ""limit"": [""Unlimited""], ""eligibility"": [""As per primary card.""]}]",,,,"[{""mainTitle"": ""Club Marriott"", ""child"": ""Club Marriott membership""}, {""mainTitle"": ""Concierge"", ""child"": ""24x7 Concierge Services""}, {""mainTitle"": ""Golf"", ""child"": ""Complimentary Golf Rounds""}]","[""Club Marriott membership"", ""24x7 Concierge Services"", ""Complimentary Golf Rounds""]",,,,savesage.club,https://savesage.club/credit-card/kotak-white-reserve
Kotak Royale Signature credit card,Kotak Mahindra Bank,Kotak,,"[""Cashback""]",1499,,,1.5% to 5%,"[{""child"": ""Earn 2 Reward Points per ₹150 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 4 Reward Points per ₹150 spent"", ""name"": ""Travel""}, {""child"": ""Earn 4 Reward Points per ₹150 spent"", ""name"": ""International""}, {""child"": ""Earn 4 Reward Points per ₹150 spent"", ""name"": ""Dining""}, {""child"": ""Earn 2 Reward Points per ₹150 spent"", ""name"": ""Education""}, {""child"": ""Earn 2 Reward Points per ₹150 spent"", ""name"": ""Government""}, {""child"": ""Earn 2 Reward Points per ₹150 spent"", ""name"": ""Insurance""}, {""child"": ""Earn 2 Reward Points per ₹150 spent"", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Online Gaming""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 400000, ""cycleType"": ""STATEMENT"", ""benefits"": ""10,000 bonus Reward Points."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 2, ""spent"": 800000, ""cycleType"": ""STATEMENT"", ""benefits"": ""30,000 bonus Reward Points."", ""milestoneType"": ""YEAR""}]","[{""maintitle"": ""Domestic lounge"", ""limit"": [""2 per quarter""], ""eligibility"": [""Spend ₹75,000 in the previous calendar quarter.""]}]",,,,"[{""mainTitle"": ""Insurance"", ""child"": ""Lost Card Liability""}]","[""Lost Card Liability""]",,,,savesage.club,https://savesage.club/credit-card/kotak-royale-signature
Kotak Indian Oil credit card,Kotak Mahindra Bank,Kotak,,"[""Experience"", ""Travel Booking"", ""Hotel Transfer""]",449,,,2% to 4%,"[{""child"": ""Earn 3 Reward Points per ₹150 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 24 Reward Points per ₹150 spent"", ""name"": ""IOCL""}, {""child"": ""Earn 12 Reward Points per ₹150 spent"", ""name"": ""Dining""}, {""child"": ""Earn 12 Reward Points per ₹150 spent"", ""name"": ""Grocery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Online Gaming""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Education""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel (Other than IOCL)""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,[],[],,,,"[{""mainTitle"": ""Concierge"", ""child"": ""24x7 Concierge Services""}, {""mainTitle"": ""Insurance"", ""child"": ""Personal Accident""}]","[""24x7 Concierge Services"", ""Personal Accident""]",,,,savesage.club,https://savesage.club/credit-card/kotak-indian-oil
Kotak Privy League credit card,Kotak Mahindra Bank,Kotak,,[],0,,,NA,"[{""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 5 Reward Points per ₹100 spent"", ""name"": ""Duty Free""}, {""child"": ""Earn 5 Reward Points per ₹100 spent"", ""name"": ""Travel""}, {""child"": ""Earn 5 Reward Points per ₹100 spent"", ""name"": ""International""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Education""}, {""child"": "" No Reward Points on this category."", ""name"": ""Online Gaming""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 300000, ""cycleType"": ""STATEMENT"", ""benefits"": ""7,000 bonus Reward Points."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 2, ""spent"": 800000, ""cycleType"": ""STATEMENT"", ""benefits"": ""30,000 bonus Reward Points."", ""milestoneType"": ""YEAR""}]",[],,,,"[{""mainTitle"": ""Insurance"", ""child"": ""Lost Card Liability""}]","[""Lost Card Liability""]",,,,savesage.club,https://savesage.club/credit-card/kotak-privy-league
Kotak UPI (Rupay) credit card,Kotak Mahindra Bank,Kotak,Rupay,"[""Catalogue Products""]",0,,,1% to 3%,"[{""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""EMI""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Trains""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Education""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,[],[],,,,[],[],,,,savesage.club,https://savesage.club/credit-card/kotak-upi-rupay
